sbytes,dbytes,rate,sttl,sload,dload,ct_state_ttl,ct_dst_src_ltm,ct_srv_dst,attack_cat,label
1540,1644,108.942532,31,38136.48828,41015.21094,0,6,16,Normal,0
1540,1644,86.030026,31,30115.72266,32389.00195,0,6,16,Normal,0
1540,1644,93.77771,31,32827.88281,35305.88672,0,6,16,Normal,0
568,312,56.738967,31,27623.77148,15173.62109,0,5,14,Normal,0
1540,1644,95.437231,31,33408.81641,35930.67188,0,6,16,Normal,0
1540,1644,90.436727,31,31658.33594,34048.05859,0,6,16,Normal,0
568,304,178.699065,31,87000.91406,46563.87109,0,3,12,Normal,0
528,304,193.535901,31,87588.82031,50429.92578,0,5,6,Normal,0
568,312,80.164911,31,39028.85938,21438.38672,0,5,6,Normal,0
1540,1644,90.212491,31,31579.83984,33963.63672,0,6,11,Normal,0
1540,1644,89.684146,31,31394.88672,33764.72266,0,6,11,Normal,0
1540,1644,99.018517,31,34662.48047,37278.97266,0,6,11,Normal,0
1540,1644,94.864115,31,33208.19141,35714.90234,0,5,13,Normal,0
568,312,187.170773,31,91125.42969,50054.8125,0,4,13,Normal,0
1540,1644,100.944288,31,35336.61719,38003.99609,0,7,9,Normal,0
1540,1644,85.631993,31,29976.38672,32239.14844,0,6,11,Normal,0
1540,1644,94.766859,31,33174.14453,35678.28516,0,5,13,Normal,0
1540,1644,93.279102,31,32653.33984,35118.16797,0,5,13,Normal,0
1540,1644,85.523023,31,29938.24219,32198.12305,0,6,11,Normal,0
1540,1644,95.156805,31,33310.64844,35825.09375,0,5,13,Normal,0
1540,1644,81.498183,31,28529.30273,30682.83203,0,7,9,Normal,0
1540,1644,81.897237,31,28668.99609,30833.06836,0,7,9,Normal,0
1540,1644,81.920006,31,28676.9668,30841.64063,0,7,9,Normal,0
1540,1644,82.710291,31,28953.61523,31139.17188,0,7,9,Normal,0
568,312,169.221101,31,82386.5,45254.55859,0,3,7,Normal,0
1540,1644,117.517183,31,41138.13672,44243.4375,0,9,13,Normal,0
1540,1644,115.879738,31,40564.92969,43626.96484,0,9,13,Normal,0
1540,1644,112.31175,31,39315.91797,42283.67188,0,9,13,Normal,0
1540,1644,142.979079,31,50051.34375,53829.45703,0,9,13,Normal,0
1540,1644,114.497853,31,40081.1875,43106.70703,0,9,13,Normal,0
1272,2572,48.091285,31,13908.58203,28330.13867,0,4,7,Normal,0
1272,2572,48.091285,31,13908.58203,28330.13867,0,4,7,Normal,0
568,304,81.295146,31,39579.12109,21183.19141,0,3,5,Normal,0
520,304,193.487754,31,86240.25781,50417.37891,0,5,6,Normal,0
528,304,77.66818,31,35150.39844,20238.10938,0,4,8,Normal,0
568,312,154.300576,31,75122.33594,41264.38281,0,4,6,Normal,0
568,312,34.082002,31,16593.06641,9114.500977,0,4,8,Normal,0
1272,2572,39.278514,31,11359.82227,23138.61523,0,2,2,Normal,0
568,304,81.220629,31,39542.84375,21163.77539,0,4,9,Normal,0
568,304,122.366928,31,59575.21484,31885.32617,0,2,6,Normal,0
568,304,39.741116,31,19348.24609,10355.39941,0,3,7,Normal,0
520,304,101.362604,31,45178.76172,26412.19922,0,3,7,Normal,0
1540,1644,135.949052,31,47590.40625,51182.75781,0,6,9,Normal,0
1540,1644,139.332217,31,48774.71875,52456.46875,0,6,9,Normal,0
568,312,169.458698,31,82502.17969,45318.09766,0,6,10,Normal,0
1470,1728,120.730031,31,38743.99219,44290.67578,0,1,2,Normal,0
1470,1728,75.281767,31,24158.99414,27617.6543,0,2,5,Normal,0
1272,2572,57.663373,31,16676.94727,33968.96875,0,2,2,Normal,0
1272,2572,47.326687,31,13687.45117,27879.7207,0,2,2,Normal,0
1470,1728,113.670692,31,36478.55078,41700.90625,0,1,8,Normal,0
1470,1832,133.124652,31,40412.32813,49450.41016,0,1,3,Normal,0
528,304,193.755539,31,87688.21875,50487.15625,0,5,12,Normal,0
568,312,59.606935,31,29020.0625,15940.59766,0,5,12,Normal,0
258,86,58.274088,254,14318.77539,2863.755127,0,15,15,Normal,0
258,86,89.885332,254,22086.10938,4417.222168,0,15,15,Normal,0
258,86,66.148189,254,16253.55469,3250.710938,0,15,15,Normal,0
258,86,80.737248,254,19838.29492,3967.658936,0,15,15,Normal,0
258,86,52.073647,254,12795.23926,2559.047852,0,15,15,Normal,0
258,86,59.51217,254,14622.99023,2924.598145,0,15,15,Normal,0
258,86,54.930395,254,13497.18262,2699.436523,0,15,15,Normal,0
1540,1644,146.664058,31,51341.30859,55216.79688,0,4,7,Normal,0
1540,1644,118.774674,31,41578.33594,44716.86328,0,4,7,Normal,0
1540,1644,124.706661,31,43654.89063,46950.16797,0,4,7,Normal,0
486,268,46.288866,254,10813.0791,5529.976562,1,5,4,Normal,0
1470,1728,128.741308,31,41314.92578,47229.66797,0,6,11,Normal,0
486,354,29.394323,254,6058.688477,4288.112793,1,5,4,Normal,0
1470,1728,90.69049,31,29103.87305,33270.45313,0,1,5,Normal,0
520,304,193.776999,31,86369.17969,50492.75,0,4,9,Normal,0
568,304,109.115846,31,53123.82813,28432.47266,0,4,9,Normal,0
128,0,100000.0025,254,51200000.0,0.0,0,1,1,Normal,0
528,304,197.377706,31,89327.50781,51430.99219,0,5,8,Normal,0
568,312,110.757736,31,53923.19531,29619.7832,0,5,8,Normal,0
528,304,203.405586,31,92055.55469,53001.68359,0,3,8,Normal,0
568,312,110.836656,31,53961.61719,29640.88867,0,3,8,Normal,0
546,268,35.854289,254,9408.165039,4283.392578,1,6,6,Normal,0
520,304,199.265567,31,88815.50781,51922.91406,0,3,6,Normal,0
568,304,56.766577,31,27637.21289,14791.74805,0,3,6,Normal,0
568,312,49.183898,31,23945.53125,13153.17969,0,4,10,Normal,0
528,304,194.255578,31,87914.52344,50617.45313,0,4,10,Normal,0
568,304,33.662423,31,16388.79102,8771.46582,0,4,4,Normal,0
568,312,120.171676,31,58506.4375,32137.33984,0,1,7,Normal,0
520,304,44.280818,31,19736.59375,11538.31641,0,4,4,Normal,0
568,320,56.285028,31,27402.76758,15438.17871,0,4,14,Normal,0
1470,1728,123.711198,31,39700.69141,45384.33594,0,1,5,Normal,0
1470,1728,120.32329,31,38613.46094,44141.45703,0,1,5,Normal,0
568,320,86.037368,31,41887.90625,23598.82031,0,3,5,Normal,0
536,304,193.546606,31,88920.84375,50432.71484,0,3,5,Normal,0
536,304,95.627108,31,43933.82422,24917.69141,0,4,14,Normal,0
568,320,30.389331,31,14795.2627,8335.359375,0,5,9,Normal,0
536,304,193.632268,31,88960.19531,50455.03516,0,5,9,Normal,0
1470,1728,131.146062,31,42086.64453,48111.87109,0,2,5,Normal,0
568,312,142.054102,31,69160.05469,37989.32422,0,4,10,Normal,0
520,304,199.379086,31,88866.10938,51952.49219,0,3,4,Normal,0
1470,1728,119.506128,31,38351.22266,43841.67578,0,1,9,Normal,0
1272,2572,89.117651,31,25773.9043,52498.39844,0,2,3,Normal,0
536,304,95.80248,31,44014.39844,24963.38867,0,3,15,Normal,0
568,320,21.445553,31,10440.9209,5882.208984,0,3,15,Normal,0
568,304,80.513444,31,39198.54688,20979.50391,0,3,4,Normal,0
1540,1644,115.447985,31,40413.79297,43464.41797,0,7,6,Normal,0
536,304,193.921926,31,89093.27344,50530.51172,0,2,15,Normal,0
1540,1644,103.218219,31,36132.63281,38860.09375,0,7,6,Normal,0
1540,1644,104.850114,31,36703.89453,39474.48047,0,7,6,Normal,0
568,320,56.299062,31,27409.59961,15442.02832,0,2,7,Normal,0
484,268,72.026044,254,16748.45508,8604.710938,1,10,11,Normal,0
484,268,70.921315,254,16491.57031,8472.733398,1,10,11,Normal,0
484,268,70.921315,254,16491.57031,8472.733398,1,10,11,Normal,0
484,268,80.670752,254,18758.63867,9637.46582,1,10,11,Normal,0
484,268,69.883155,254,16250.16309,8348.708008,1,10,11,Normal,0
484,268,78.345755,254,18218.0,9359.706055,1,10,11,Normal,0
484,268,72.026044,254,16748.45508,8604.710938,1,11,11,Normal,0
484,268,42.372403,254,9852.996094,5062.089844,1,11,11,Normal,0
484,268,64.501701,254,14998.7959,7705.803223,1,11,11,Normal,0
484,268,72.094243,254,16764.31445,8612.859375,1,11,11,Normal,0
568,312,115.961238,31,56456.55859,31011.34766,0,3,7,Normal,0
484,268,49.025214,254,11399.99609,5856.878906,1,11,11,Normal,0
484,268,59.996882,254,13951.27441,7167.627441,1,11,11,Normal,0
484,268,64.393436,254,14973.62012,7692.869141,1,11,11,Normal,0
484,268,64.036886,254,14890.71094,7650.273438,1,11,11,Normal,0
484,268,57.909913,254,13465.98535,6918.304199,1,11,11,Normal,0
486,268,48.156257,254,11249.30176,5753.067383,1,11,11,Normal,0
484,268,51.844272,254,12055.52148,6193.662598,1,11,11,Normal,0
520,304,112.7069,31,50235.07422,29368.19727,0,4,5,Normal,0
568,304,25.260636,31,12298.32129,6582.200195,0,4,5,Normal,0
536,304,193.814554,31,89043.94531,50502.53516,0,2,5,Normal,0
568,304,56.822794,31,27664.58398,14806.39648,0,4,10,Normal,0
568,320,23.538432,31,11459.85352,6456.255859,0,4,11,Normal,0
486,268,55.234991,254,12902.89356,6598.740234,1,12,12,Normal,0
520,304,193.455662,31,86225.95313,50409.01953,0,4,10,Normal,0
1470,1728,131.639814,31,42245.09766,48293.00781,0,1,5,Normal,0
568,320,24.188226,31,11776.21094,6634.484863,0,3,8,Normal,0
520,304,58.311952,31,25990.4707,15194.42871,0,3,7,Normal,0
486,354,31.800369,254,6554.617188,4639.112793,1,12,12,Normal,0
486,268,55.699344,254,13011.36621,6654.214844,1,12,12,Normal,0
536,304,105.799308,31,48607.22656,27568.27734,0,4,11,Normal,0
486,268,44.30503,254,10349.65527,5292.974121,1,12,12,Normal,0
486,268,56.014043,254,13084.88086,6691.811035,1,12,12,Normal,0
528,304,49.569456,31,22433.71875,12916.38379,0,3,11,Normal,0
568,312,27.541488,31,13408.77051,7365.380859,0,3,11,Normal,0
486,268,44.30503,254,10349.65527,5292.974121,1,12,12,Normal,0
568,312,34.087643,31,16595.8125,9116.009766,0,6,12,Normal,0
528,304,63.019345,31,28520.75586,16421.04102,0,6,12,Normal,0
486,268,57.592627,254,13453.6377,6880.398926,1,12,12,Normal,0
486,268,57.592627,254,13453.6377,6880.398926,1,12,12,Normal,0
486,268,47.531227,254,11103.29492,5678.397461,1,12,12,Normal,0
486,268,37.839421,254,8839.289062,4520.549316,1,12,12,Normal,0
528,304,18.036681,31,8162.886719,4699.84375,0,3,9,Normal,0
486,268,46.474737,254,10856.49902,5552.182129,1,12,12,Normal,0
486,268,56.382076,254,13170.85254,6735.778809,1,12,12,Normal,0
486,354,26.697155,254,5502.754883,3894.643799,1,7,7,Normal,0
568,320,56.280048,31,27400.34375,15436.81348,0,4,7,Normal,0
486,268,55.722104,254,13016.68359,6656.934082,1,7,7,Normal,0
536,304,188.51665,31,86609.9375,49122.05469,0,4,7,Normal,0
486,268,55.087718,254,12868.49121,6581.145996,1,7,7,Normal,0
486,354,32.457923,254,6690.150879,4735.038086,1,7,7,Normal,0
490,268,34.90117,254,8208.754883,4169.526367,1,7,7,Normal,0
486,354,30.835479,254,6355.736328,4498.352051,1,7,7,Normal,0
490,268,47.710532,254,11221.5166,5699.818359,1,8,8,Normal,0
490,268,47.710532,254,11221.5166,5699.818359,1,8,8,Normal,0
484,268,81.12318,254,18863.84375,9691.515625,1,10,11,Normal,0
484,268,70.968625,254,16502.57031,8478.384766,1,10,11,Normal,0
484,268,59.672515,254,13875.84863,7128.876465,1,10,11,Normal,0
484,268,59.672515,254,13875.84863,7128.876465,1,10,11,Normal,0
490,268,45.877874,254,10790.47559,5480.876953,1,8,8,Normal,0
490,354,24.363993,254,5056.245117,3554.276611,1,8,8,Normal,0
490,354,30.383567,254,6305.483887,4432.42627,1,8,8,Normal,0
490,354,26.247286,254,5447.083984,3829.015869,1,4,4,Normal,0
574,268,37.989014,254,10474.83691,4538.420898,1,4,4,Normal,0
550,268,30.224751,254,7979.333984,3610.850098,1,4,4,Normal,0
568,312,26.580192,31,12940.75684,7108.302734,0,2,10,Normal,0
528,304,199.220187,31,90161.36719,51911.08984,0,2,9,Normal,0
514,268,30.472939,254,7524.784668,3640.500488,1,4,4,Normal,0
520,304,199.954306,31,89122.49219,52102.37891,0,4,7,Normal,0
568,304,80.297327,31,39093.32813,20923.18945,0,4,7,Normal,0
536,304,197.723366,31,90839.76563,51521.05859,0,5,17,Normal,0
528,304,74.358923,31,33652.72266,19375.81055,0,3,10,Normal,0
514,354,21.252445,254,4630.532715,3100.356689,1,4,4,Normal,0
520,304,33.796833,31,15063.73145,8806.489258,0,3,12,Normal,0
568,304,15.976665,31,7778.353516,4163.0625,0,3,12,Normal,0
568,312,19.809938,31,9644.609375,5297.743164,0,3,10,Normal,0
546,354,18.339023,254,4246.023438,2675.339844,1,3,3,Normal,0
1540,1644,138.188641,31,48374.39844,52025.92969,0,4,8,Normal,0
1540,1644,104.819801,31,36693.28125,39463.06641,0,4,8,Normal,0
490,268,24.236276,254,5700.37207,2895.427002,1,4,4,Normal,0
490,268,29.550535,254,6950.286133,3530.303955,1,4,4,Normal,0
490,268,25.140284,254,5912.994629,3003.426025,1,4,4,Normal,0
1540,1644,104.79151,31,36683.37891,39452.41406,0,4,8,Normal,0
622,268,26.802035,254,8004.874512,3201.949707,1,4,4,Normal,0
490,268,39.567397,254,9306.251953,4726.984863,1,7,7,Normal,0
490,268,28.666,254,6742.243164,3424.631348,1,7,7,Normal,0
1540,1644,144.262292,31,50500.54688,54312.56641,0,5,6,Normal,0
490,268,37.726359,254,8873.239258,4507.04248,1,7,7,Normal,0
490,268,22.823478,254,5368.082031,2726.644775,1,7,7,Normal,0
820,354,25.038922,254,8695.870117,3652.736816,1,3,3,Normal,0
498,354,21.724878,254,4590.338867,3169.276367,1,7,7,Normal,0
884,268,22.347302,254,9487.174805,2669.757568,1,3,3,Normal,0
546,268,24.498996,254,6428.536621,2926.813232,1,4,4,Normal,0
884,268,22.347302,254,9487.174805,2669.757568,1,4,4,Normal,0
520,304,97.087381,31,43273.23438,25298.19727,0,1,10,Normal,0
948,268,32.97834,254,15020.53418,3939.812256,1,4,4,Normal,0
622,268,32.018853,254,9562.963867,3825.185547,1,4,4,Normal,0
46,28,45454.5451,0,0.0,0.0,0,1,1,Normal,0
1540,1644,76.091566,31,26636.66016,28647.32227,0,7,16,Normal,0
546,354,19.682486,254,4557.074707,2871.327393,1,4,4,Normal,0
1540,1644,66.444783,31,23259.70117,25015.45313,0,7,16,Normal,0
568,320,126.403984,31,61540.68359,34670.80859,0,2,6,Normal,0
568,312,136.662702,31,66535.21094,36547.51172,0,3,6,Normal,0
1540,1644,65.628282,31,22973.87695,24708.05469,0,7,16,Normal,0
738,268,21.329026,254,7564.694824,2548.107666,1,3,3,Normal,0
1238,712,24.109197,254,11521.6582,6324.223145,1,2,2,Normal,0
568,320,133.654099,31,65070.45313,36659.41016,0,4,15,Normal,0
546,354,17.246487,254,3993.068848,2515.958008,1,4,4,Normal,0
1540,1644,51.099096,31,17887.78125,19238.03516,0,7,15,Normal,0
568,320,28.878246,31,14059.58008,7920.890137,0,2,14,Normal,0
536,304,193.750165,31,89014.35938,50485.75781,0,2,14,Normal,0
1540,1644,59.685944,31,20893.69727,22470.85352,0,7,15,Normal,0
528,304,60.801361,31,27516.95898,15843.09766,0,2,14,Normal,0
546,354,17.246487,254,3993.068848,2515.958008,1,4,4,Normal,0
1540,1644,51.973744,31,18193.96094,19567.32813,0,7,15,Normal,0
1020,808,16.461254,254,5863.341797,4565.254395,1,3,3,Normal,0
568,312,28.43725,31,13844.87891,7604.933105,0,2,14,Normal,0
568,312,151.423383,31,73721.55469,40494.9375,0,3,10,Normal,0
568,312,26.593117,31,12947.04883,7111.759277,0,3,5,Normal,0
528,304,82.230076,31,37214.98438,21426.80859,0,3,5,Normal,0
568,312,105.909759,31,51562.92188,28323.29492,0,3,12,Normal,0
528,304,193.750165,31,87685.78906,50485.75781,0,3,12,Normal,0
546,354,18.61286,254,4309.424316,2715.287842,1,4,4,Normal,0
1540,1644,75.70891,31,26502.70703,28503.25781,0,8,16,Normal,0
1540,1644,97.558669,31,34151.44531,36729.35938,0,8,16,Normal,0
1540,1644,78.964369,31,27642.31445,29728.88867,0,8,16,Normal,0
528,304,49.959677,31,22610.32227,13018.06445,0,3,6,Normal,0
536,304,188.27327,31,86498.11719,49058.63672,0,4,7,Normal,0
568,312,26.498188,31,12900.83203,7086.372559,0,3,6,Normal,0
568,320,56.282766,31,27401.66602,15437.55859,0,4,7,Normal,0
568,320,56.257887,31,27389.55469,15430.73438,0,3,6,Normal,0
536,304,194.1209,31,89184.6875,50582.35938,0,3,6,Normal,0
528,304,193.739457,31,87680.94531,50482.96875,0,3,5,Normal,0
568,312,90.670054,31,44143.36328,24247.76367,0,3,5,Normal,0
568,312,80.336031,31,39112.17188,21484.15039,0,4,8,Normal,0
528,304,199.487037,31,90282.13281,51980.62109,0,4,8,Normal,0
528,304,193.594783,31,87615.46875,50445.26953,0,3,8,Normal,0
568,312,120.430107,31,58632.25781,32206.45117,0,3,4,Normal,0
568,312,80.299173,31,39094.22656,21474.29297,0,3,8,Normal,0
574,268,25.413435,254,7007.331055,3036.05835,1,3,3,Normal,0
536,304,193.669768,31,88977.42188,50464.80859,0,5,8,Normal,0
568,320,80.076873,31,38985.99609,21963.94141,0,5,8,Normal,0
568,312,89.502617,31,43574.98828,23935.55664,0,5,10,Normal,0
528,304,193.568019,31,87603.35156,50438.29688,0,5,10,Normal,0
514,354,26.19685,254,5707.831055,3821.657959,1,4,4,Normal,0
568,320,108.714225,31,52928.29688,29818.75977,0,5,17,Normal,0
514,268,28.592179,254,7060.362305,3415.812256,1,4,4,Normal,0
568,320,144.702844,31,70449.61719,39689.92188,0,3,5,Normal,0
514,268,26.259953,254,6484.45752,3137.188965,1,4,4,Normal,0
568,312,18.463956,31,8989.30957,4937.789551,0,4,9,Normal,0
528,304,40.208857,31,18197.38086,10477.2793,0,4,9,Normal,0
718,354,17.736323,254,5400.188965,2587.416504,1,3,3,Normal,0
536,304,47.282601,31,21722.97852,12320.49512,0,5,6,Normal,0
568,320,23.860248,31,11616.53223,6544.525391,0,5,6,Normal,0
514,268,27.740534,254,6850.0625,3314.069092,1,4,4,Normal,0
586,682,17.492676,254,3273.411865,3808.839844,1,1,1,Normal,0
528,304,193.819912,31,87717.35156,50503.92969,0,3,3,Normal,0
568,312,80.328661,31,39108.58203,21482.17969,0,3,3,Normal,0
820,682,17.041989,254,4155.518555,3413.851074,1,2,1,Normal,0
214,0,142857.1409,60,122285712.0,0.0,0,1,1,Normal,0
1540,1644,51.817132,31,18139.13672,19508.36523,0,5,5,Normal,0
544,304,96.939483,31,45201.49609,25259.66016,0,4,5,Normal,0
544,304,105.767341,31,49317.80078,27559.94727,0,3,6,Normal,0
994,268,30.535905,254,14575.80566,3648.022705,1,2,2,Normal,0
1540,1644,64.738887,31,22662.5332,24373.21094,0,5,5,Normal,0
